County,Facility_Identifier,Population,Scrape_Date,State,Change
Clay,MS_Clay,65,2020-01-01,MS,
Clay,MS_Clay,61,2020-01-02,MS,-0.061538461538461535
Clay,MS_Clay,61,2020-01-03,MS,0.0
Clay,MS_Clay,63,2020-01-04,MS,0.03278688524590168
Clay,MS_Clay,64,2020-01-05,MS,0.015873015873015817
Clay,MS_Clay,64,2020-01-06,MS,0.0
Clay,MS_Clay,62,2020-01-07,MS,-0.03125
Clay,MS_Clay,60,2020-01-08,MS,-0.032258064516129004
Clay,MS_Clay,61,2020-01-09,MS,0.01666666666666661
Clay,MS_Clay,64,2020-01-10,MS,0.049180327868852514
Clay,MS_Clay,62,2020-01-11,MS,-0.03125
Clay,MS_Clay,63,2020-01-12,MS,0.016129032258064502
Clay,MS_Clay,62,2020-01-13,MS,-0.015873015873015928
Clay,MS_Clay,63,2020-01-14,MS,0.016129032258064502
Clay,MS_Clay,63,2020-01-15,MS,0.0
Clay,MS_Clay,63,2020-01-16,MS,0.0
Clay,MS_Clay,66,2020-01-17,MS,0.04761904761904767
Clay,MS_Clay,69,2020-01-18,MS,0.04545454545454541
Clay,MS_Clay,70,2020-01-19,MS,0.014492753623188468
Clay,MS_Clay,71,2020-01-20,MS,0.014285714285714237
Clay,MS_Clay,74,2020-01-21,MS,0.042253521126760514
Clay,MS_Clay,72,2020-01-22,MS,-0.027027027027026973
Clay,MS_Clay,72,2020-01-23,MS,0.0
Clay,MS_Clay,73,2020-01-24,MS,0.013888888888888841
Clay,MS_Clay,73,2020-01-25,MS,0.0
Clay,MS_Clay,73,2020-01-26,MS,0.0
Clay,MS_Clay,71,2020-01-27,MS,-0.0273972602739726
Clay,MS_Clay,72,2020-01-28,MS,0.014084507042253502
Clay,MS_Clay,74,2020-01-29,MS,0.027777777777777683
Clay,MS_Clay,75,2020-01-30,MS,0.0135135135135136
Clay,MS_Clay,73,2020-01-31,MS,-0.026666666666666616
Clay,MS_Clay,71,2020-02-01,MS,-0.0273972602739726
Clay,MS_Clay,72,2020-02-02,MS,0.014084507042253502
Clay,MS_Clay,72,2020-02-03,MS,0.0
Clay,MS_Clay,73,2020-02-04,MS,0.013888888888888841
Clay,MS_Clay,73,2020-02-05,MS,0.0
Clay,MS_Clay,72,2020-02-06,MS,-0.013698630136986356
Clay,MS_Clay,72,2020-02-07,MS,0.0
Clay,MS_Clay,72,2020-02-08,MS,0.0
Clay,MS_Clay,74,2020-02-09,MS,0.027777777777777683
Clay,MS_Clay,74,2020-02-11,MS,0.0
Clay,MS_Clay,67,2020-02-12,MS,-0.09459459459459464
Clay,MS_Clay,67,2020-02-13,MS,0.0
Clay,MS_Clay,67,2020-02-14,MS,0.0
Clay,MS_Clay,67,2020-02-15,MS,0.0
Clay,MS_Clay,66,2020-02-16,MS,-0.0149253731343284
Clay,MS_Clay,66,2020-02-17,MS,0.0
Clay,MS_Clay,66,2020-02-18,MS,0.0
Clay,MS_Clay,66,2020-02-19,MS,0.0
Clay,MS_Clay,65,2020-02-20,MS,-0.015151515151515138
Clay,MS_Clay,64,2020-02-21,MS,-0.015384615384615332
Clay,MS_Clay,65,2020-02-22,MS,0.015625
Clay,MS_Clay,65,2020-02-23,MS,0.0
Clay,MS_Clay,67,2020-02-24,MS,0.030769230769230663
Clay,MS_Clay,68,2020-02-25,MS,0.0149253731343284
Clay,MS_Clay,64,2020-02-26,MS,-0.058823529411764726
Clay,MS_Clay,64,2020-02-27,MS,0.0
Clay,MS_Clay,68,2020-02-28,MS,0.0625
Clay,MS_Clay,62,2020-03-04,MS,-0.08823529411764708
Clay,MS_Clay,62,2020-03-05,MS,0.0
Clay,MS_Clay,62,2020-03-06,MS,0.0
Clay,MS_Clay,64,2020-03-07,MS,0.032258064516129004
Clay,MS_Clay,64,2020-03-08,MS,0.0
Clay,MS_Clay,69,2020-03-09,MS,0.078125
Clay,MS_Clay,68,2020-03-10,MS,-0.01449275362318836
Clay,MS_Clay,68,2020-03-11,MS,0.0
Clay,MS_Clay,69,2020-03-12,MS,0.014705882352941124
Clay,MS_Clay,69,2020-03-13,MS,0.0
Clay,MS_Clay,70,2020-03-14,MS,0.014492753623188468
Clay,MS_Clay,70,2020-03-15,MS,0.0
Clay,MS_Clay,73,2020-03-16,MS,0.042857142857142934
Clay,MS_Clay,70,2020-03-17,MS,-0.041095890410958964
Clay,MS_Clay,70,2020-03-18,MS,0.0
Clay,MS_Clay,71,2020-03-19,MS,0.014285714285714237
Clay,MS_Clay,69,2020-03-20,MS,-0.028169014084507005
Clay,MS_Clay,70,2020-03-21,MS,0.014492753623188468
Clay,MS_Clay,71,2020-03-22,MS,0.014285714285714237
Clay,MS_Clay,71,2020-03-23,MS,0.0
Clay,MS_Clay,69,2020-03-24,MS,-0.028169014084507005
Clay,MS_Clay,68,2020-03-25,MS,-0.01449275362318836
Clay,MS_Clay,71,2020-03-26,MS,0.0441176470588236
Clay,MS_Clay,72,2020-03-27,MS,0.014084507042253502
Clay,MS_Clay,69,2020-03-28,MS,-0.04166666666666663
Clay,MS_Clay,68,2020-03-29,MS,-0.01449275362318836
Clay,MS_Clay,68,2020-03-30,MS,0.0
Clay,MS_Clay,66,2020-03-31,MS,-0.029411764705882363
Clay,MS_Clay,67,2020-04-01,MS,0.015151515151515138
Clay,MS_Clay,65,2020-04-02,MS,-0.029850746268656688
Clay,MS_Clay,65,2020-04-03,MS,0.0
Clay,MS_Clay,65,2020-04-04,MS,0.0
Clay,MS_Clay,66,2020-04-05,MS,0.015384615384615332
Clay,MS_Clay,68,2020-04-06,MS,0.03030303030303028
Clay,MS_Clay,64,2020-04-07,MS,-0.058823529411764726
Clay,MS_Clay,65,2020-04-08,MS,0.015625
Clay,MS_Clay,66,2020-04-09,MS,0.015384615384615332
Clay,MS_Clay,65,2020-04-10,MS,-0.015151515151515138
Clay,MS_Clay,65,2020-04-11,MS,0.0
Clay,MS_Clay,65,2020-04-12,MS,0.0
Clay,MS_Clay,66,2020-04-13,MS,0.015384615384615332
Clay,MS_Clay,66,2020-04-14,MS,0.0
Clay,MS_Clay,64,2020-04-15,MS,-0.03030303030303028
Clay,MS_Clay,63,2020-04-16,MS,-0.015625
Clay,MS_Clay,63,2020-04-17,MS,0.0
Clay,MS_Clay,58,2020-04-18,MS,-0.07936507936507943
Clay,MS_Clay,58,2020-04-19,MS,0.0
Clay,MS_Clay,58,2020-04-20,MS,0.0
Clay,MS_Clay,57,2020-04-21,MS,-0.017241379310344862
Clay,MS_Clay,57,2020-04-22,MS,0.0
Clay,MS_Clay,58,2020-04-23,MS,0.017543859649122858
Clay,MS_Clay,58,2020-04-24,MS,0.0
Clay,MS_Clay,58,2020-04-25,MS,0.0
Clay,MS_Clay,58,2020-04-26,MS,0.0
Clay,MS_Clay,58,2020-04-27,MS,0.0
Clay,MS_Clay,59,2020-04-28,MS,0.01724137931034475
Clay,MS_Clay,58,2020-04-29,MS,-0.016949152542372836
Clay,MS_Clay,58,2020-04-30,MS,0.0
Clay,MS_Clay,58,2020-05-01,MS,0.0
Clay,MS_Clay,58,2020-05-02,MS,0.0
Clay,MS_Clay,58,2020-05-03,MS,0.0
Clay,MS_Clay,58,2020-05-04,MS,0.0
Clay,MS_Clay,58,2020-05-05,MS,0.0
Clay,MS_Clay,58,2020-05-06,MS,0.0
Clay,MS_Clay,58,2020-05-07,MS,0.0
Clay,MS_Clay,58,2020-05-08,MS,0.0
Clay,MS_Clay,58,2020-05-09,MS,0.0
Clay,MS_Clay,58,2020-05-10,MS,0.0
Clay,MS_Clay,58,2020-05-11,MS,0.0
Clay,MS_Clay,58,2020-05-12,MS,0.0
Clay,MS_Clay,58,2020-05-13,MS,0.0
Clay,MS_Clay,58,2020-05-14,MS,0.0
Clay,MS_Clay,58,2020-05-15,MS,0.0
Clay,MS_Clay,58,2020-05-16,MS,0.0
Clay,MS_Clay,58,2020-05-17,MS,0.0
Clay,MS_Clay,58,2020-05-18,MS,0.0
Clay,MS_Clay,58,2020-05-19,MS,0.0
Clay,MS_Clay,58,2020-05-20,MS,0.0
Clay,MS_Clay,59,2020-05-21,MS,0.01724137931034475
Clay,MS_Clay,59,2020-05-22,MS,0.0
Clay,MS_Clay,59,2020-05-23,MS,0.0
Clay,MS_Clay,59,2020-05-24,MS,0.0
Clay,MS_Clay,59,2020-05-25,MS,0.0
Clay,MS_Clay,59,2020-05-26,MS,0.0
Clay,MS_Clay,59,2020-05-27,MS,0.0
Clay,MS_Clay,59,2020-05-28,MS,0.0
Clay,MS_Clay,59,2020-05-29,MS,0.0
Clay,MS_Clay,59,2020-05-30,MS,0.0
Clay,MS_Clay,59,2020-05-31,MS,0.0
Clay,MS_Clay,59,2020-06-01,MS,0.0
Clay,MS_Clay,59,2020-06-02,MS,0.0
Clay,MS_Clay,59,2020-06-03,MS,0.0
Clay,MS_Clay,59,2020-06-04,MS,0.0
Clay,MS_Clay,59,2020-06-05,MS,0.0
Clay,MS_Clay,55,2020-06-06,MS,-0.06779661016949158
Clay,MS_Clay,55,2020-06-07,MS,0.0
Clay,MS_Clay,55,2020-06-08,MS,0.0
Clay,MS_Clay,55,2020-06-09,MS,0.0
Clay,MS_Clay,59,2020-06-10,MS,0.07272727272727275
Clay,MS_Clay,56,2020-06-11,MS,-0.05084745762711862
Clay,MS_Clay,56,2020-06-12,MS,0.0
Clay,MS_Clay,56,2020-06-13,MS,0.0
Clay,MS_Clay,56,2020-06-14,MS,0.0
Clay,MS_Clay,56,2020-06-15,MS,0.0
Clay,MS_Clay,56,2020-06-16,MS,0.0
Clay,MS_Clay,55,2020-06-17,MS,-0.017857142857142905
Clay,MS_Clay,55,2020-06-18,MS,0.0
Clay,MS_Clay,56,2020-06-19,MS,0.01818181818181808
Clay,MS_Clay,55,2020-06-20,MS,-0.017857142857142905
Clay,MS_Clay,55,2020-06-21,MS,0.0
Clay,MS_Clay,55,2020-06-22,MS,0.0
Clay,MS_Clay,49,2020-06-23,MS,-0.10909090909090913
Clay,MS_Clay,48,2020-06-24,MS,-0.020408163265306145
Clay,MS_Clay,48,2020-06-25,MS,0.0
Clay,MS_Clay,51,2020-06-26,MS,0.0625
Clay,MS_Clay,51,2020-06-27,MS,0.0
Clay,MS_Clay,51,2020-06-28,MS,0.0
Clay,MS_Clay,51,2020-06-29,MS,0.0
Clay,MS_Clay,52,2020-06-30,MS,0.019607843137254832
Clay,MS_Clay,51,2020-07-01,MS,-0.019230769230769273
Clay,MS_Clay,51,2020-07-02,MS,0.0
Clay,MS_Clay,50,2020-07-03,MS,-0.019607843137254943
Clay,MS_Clay,50,2020-07-04,MS,0.0
