county,position,name,address,alt address,phone,alt phone,fax,alt fax,email
Adams,Sheriff,Travis Lamont Patten,"306 State St, Natchez 39120",,(601) 442-2752,,(601) 442-2911,,
Alcorn,Sheriff,Ben Caldwell,"2833 S Harper Rd, Corinth 38834",,(662) 286-5521,,,,
Amite,Sheriff,Tim Wroten,"PO Box 208, Liberty 39645",,(601) 657-8057,,(601) 657-4199,,
Attala,Sheriff,Tim Nail,"112 W Adams St, Kosciusko 39090",,(662) 289-5556,,(662) 289-3476,,
Benton,Sheriff,"A. A. (""Arnie"") McMulleN ","PO Box 245, Ashland 38603",,(662) 224-8941,,(662) 224-6307,,
Bolivar,Sheriff,Kelvin Williams Sr.,"PO Box 157, Rosedale 38769","PO Box 539, Cleveland 38732",(662) 759-3536,(662) 843-5378,(662) 759-3467,(662) 759-3467,
Calhoun,Sheriff,Greg Pollan,"PO Box 158, Pittsboro 38951",,(662) 412-3149,,(662) 412-3197,,
Carroll,Sheriff,Clint Walker,"PO Box 291, Carrollton 38917",,(662) 237-9283,,(662) 237-6655,,
Chickasaw,Sheriff,James Meyers,"130 Lancaster Cir, Houston 38851",,(662) 456-2339,,(662) 456-5291,,
Choctaw,Sheriff,Cloyd Halford,"122 Jail House Rd, Ackerman 39735",,(662) 285-6129,,(662) 285-9040,,
Claiborne,Sheriff,Frank Davis ,"PO Box 427, Port Gibson 39150",,(601) 437-5161,,(601) 437-3824,,
Clarke,Sheriff,Todd Kemp.,"444 West Donald St, Quitman 39355",,(601) 776-5252,,(601) 776-1025,,
Clay,Sheriff,Eddie Scott,"PO Box 142, West Point 39773",,(662) 494-2896,,(662) 494-4034,,
Coahoma,Sheriff,Charles Jones,"PO Box 1182, Clarksdale 38614",,(662) 624-3081,,(662) 624-3035,,
Copiah,Sheriff,Harold L. Jones Jr.,"PO Box 547, Hazlehurst 39083",,(601) 894-3011,,(601) 892-2133,,
Covington,Sheriff,Stann Q. Smith,"PO Box 545, Collins 39428",,(601) 765-8281,,(601) 765-5003,,
DeSoto,Sheriff,Bill Rasco,"3091 Industrial Dr. W, Hernando 38632",,(662) 469-8027,,(662) 469-8543,,
Forrest,Sheriff,Billy Bob McGee,"PO Box 747, Hattiesburg 39403",,(601) 544-7800,,(601) 544-8162,,
Franklin,Sheriff,James Newman,"PO Box 396, Meadville 39653",,(601) 384-2323,,(601) 384-3770,,
George,Sheriff,Keith Havard,"355 Cox St,Ste B, Lucedale 39452 ",,(601) 947-4811,,(601) 947-0233,,
Greene,Sheriff,Stanley McLeod ,"PO Box 637, Leakesville 39451",,(601) 394-2341,,(601) 394-5939,,
Grenada,Sheriff,Alton Strider,"35 Doak St, Grenada 38901",,(662) 227-2877,,(662) 227-2872,,
Hancock,Sheriff,Ricky Adam,"8450 Hwy. 90, Bay St. Louis 39520",,(228)466-6900,,(228) 586-1636,,
Harrison,Sheriff,,,,,,,,
Hinds,Sheriff,,,,,,,,
Holmes,Sheriff,Willie E March,"PO Box 1 20, Lexington 39095",,(662) 834-1511,,(662) 834-3362,,
Humphreys,Sheriff,"J.D. (""Bubba"") Roseman","106 Castleman St, Belzoni 39038",,(662) 247-2551,,(662) 247-3902,,
Issaquena,Sheriff,Richard Jones,"PO Box 147, Mayersville 39113",,(662) 873-2781,,(662) 873-4500,,
Itawamba,Sheriff,Chris Dickinson,"201 S Cummings St, Fulton 38843 ",,(662) 862-3401,,(662) 862-3175,,
Jackson,Sheriff,Mike Ezell,"PO Box 998, Pascagoula 39568-0998",,(228) 769-3024,,(228) 762-6168,,
Jasper,Sheriff,Randy Johnson,"PO Box 464, Bay Springs 39422",,(601) 764-2588,,(601) 764-4016,,
Jefferson,Sheriff,Peter E Walker,"PO Box 218, Fayette 39069(601) 786-3403",,(601) 786-3403,,(601) 786-6000,,
Jefferson Davis,Sheriff,Ron Strickland,"PO Box 339, Prentiss 39474",,(601) 792-5169,,(601) 792-5980,,
Jones,Sheriff,,,,,,,,
Kemper,Sheriff,James Moore Sr.,"PO Box 188, DeKalb 39328 ",,(601) 743-2255,,(601) 743-2266,,
Lafayette,Sheriff,"F.D. (""Buddy"") East","711 Jackson Ave, Oxford 38655",,(662) 234-6421,,(662) 236-0203,,
Lamar,Sheriff,Danny Rigel,"PO Box 352, Purvis 39475",,(601) 794-8504,,(601) 794-1002,,
Lauderdale,Sheriff,"William D. (""Billy"") Sollie","410 Constitution Ave, Meridian 39302",,(601) 482-9806,,(601) 486-4976,,
Lawrence,Sheriff,Lessie Butler,"PO Box 816, Monticello 39654",,(601) 587-2961,,(601) 587-4740,,
Leake,Sheriff,Greg Waggoner,"316 C.O. Brooks St, Carthage 39051",,(601) 267-7361,,(601) 267-4658,,
Lee,Sheriff,Jim Howell Johnson,"510 N Commerce, Tupelo 38804",,(662) 841-9040,,(662) 841-9044,,
Leflore,Sheriff,"Fredrick L. (""Ricky"") Banks","PO Box 905, Greenwood 38935",,(662) 453-5141,,(662) 453-2221,,
Lincoln,Sheriff,Steve Henry Rushing,"PO Box 587, Brookhaven 39602",,(601) 833-5231,,(601) 833-4492,,
Lowndes,Sheriff,Mike Arledge,"PO Box 2341, Columbus 39704 ",,(662) 329-5826,,(662) 244-0769,,
Madison,Sheriff,Randall Tucker,"2941 S Liberty St, Canton 39046-8665",,(601) 859-2345,,(601) 859-5805,,
Marion,Sheriff,Berkley Hall,"219 Broad St, Columbia 39429",,(601) 736-5051,,(601) 731-3780,,
Marshall,Sheriff,Kenny Dickerson,"PO Box 5100, Holly Springs 38635",,(662) 252-1311,,(662) 252-0006,,
Monroe,Sheriff,Cecil Cantrell,"PO Box 683, Aberdeen 39730",,(662) 369-2468,,(662) 369-2470,,
Montgomery,Sheriff,"Jerry C. (""Bubba"") Nix Jr.","PO Box 346, Winona 38967",,(662) 283-3343,,(662) 283-4000,,
Neshoba,Sheriff,Tommy G. Waddell,"401 E Beacon St,Ste 108, Philadelphia 39350",,(601) 656-1414,,(601) 650-3281,,
Newton,Sheriff,Jackie Knight,"PO Box 395, Decatur 39327",,(601) 635-4401,,(601) 635-5768,,
Noxubee,Sheriff,Terry M. Grassaree,"2832 Jefferson, Macon 39341",,(662) 726-5133,,(662) 726-4166,,
Oktibbeha,Sheriff,Steve Gladney,"111 Dr. D.L. Conner Dr, Starkville 39760",,(662) 323-2421,,(662) 324-5680,,
Panola,Sheriff,Dennis L. Darby,"PO Box 273, Batesville 38606",,(662) 563-6230,,,,
Pearl River,Sheriff,David Allison,"200 S Main, Poplarville 39470",,(601) 403-2340,,(601) 403-2344,,
Perry,Sheriff,Mitch Nobles,"PO Box 228, New Augusta 39462",,(601) 964-8461,,(601) 964-8463,,
Pike,Sheriff,Kenny Cotton,"2109 Jessie Hall Rd, Magnolia 39652",,(601) 783-2327,,(601) 783-6586,,
Pontotoc,Sheriff,Leo Mask,"PO Box 240, Pontotoc 38863",,(662) 489-3915,,(662) 489-3312,,
Prentiss,Sheriff,Randy Tolar,"1901-B E Chambers Dr, Booneville 38829",,(662) 728-6232,,(662) 728-2003,,
Quitman,Sheriff,Oliver Parker Jr.,"PO Box 365, Marks 38646",,(662) 326-3131,,(662) 326-8004,,
Rankin,Sheriff,Bryan Bailey,"221 N Timber, Brandon 39042",,(601) 825-1480,,(601) 824-0268,,
Scott,Sheriff,Mike Lee,"531 Airport Rd, Forest 39074",,(601) 469-1511,,(601) 469-5224,,
Sharkey,Sheriff,Lindsey Adams Jr.,"120 Locust St, Rolling Fork 39159",,(662) 873-4321,,(662) 873-6135,,
Simpson,Sheriff,Donald O’Cain,"1496 Simpson Hwy. 149, Mendenhall 39114",,(601) 847-2155,,(601) 847-2156,,
Smith,Sheriff,Charlie Crumpton,"PO Box 307, Raleigh 39153",,(601) 782-4531,,(601) 782-4003,,
Stone,Sheriff,Mike Farmer,"1420 Industrial Park Rd, Wiggins 39577",,(601) 928-7251,,(601) 928-6455,,
Sunflower,Sheriff,James Haywood,"1300 Allen Rd, Indianola 38751",,(662) 887-2121,,(662) 887-4614,,
Tallahatchie,Sheriff,,,,,,,,
Tate,Sheriff,Brad Lance,"1 Justice Dr, Senatobia 38668",,(662) 562-4434,,(662) 562-9236,,
Tippah,Sheriff,Karl Gaillard,"205 W Spring St, Ripley 38663",,(662) 837-9336,,(662) 837-1191,,
Tishomingo,Sheriff,John Dennis Daugherty ,"1111 Maria Ln, Iuka 38852 ",,(662) 423-7000,,(662) 423-9712,,
Tunica,Sheriff,K.C. Hamp ,"PO Box 25, Tunica 38676 ",,(662) 363-1411,,(662) 363-2593,,
Union,Sheriff,Jimmy Edwards,"300 Carter Ave, New Albany 38652",,(662) 534-1941,,(662) 534-1993,,
Walthall,Sheriff,Kyle Breland,"807 Magnolia Ave, Tylertown 39667",,(601) 876-3481,,(601) 876-6688,,
Warren,Sheriff,W Martin Pace Jr.,"1000 Grove St, Vicksburg 39183",,(601) 636-1761,,(601) 634-4803,,
Washington,Sheriff,Milton M. Gaston Sr.,"PO Box 786, Greenville 38702",,(662) 334-4523,,(662) 334-2764,,
Wayne,Sheriff,Jody Ashley,"613 Court St, Waynesboro 39367",,(601) 735-3801,,(601) 735-6262,,
Webster,Sheriff,Tim Mitchell,"87 Government Ave, Eupora 39744",,(662) 258-7701,,(662) 258-6069,,
Wilkinson,Sheriff,Reginald Jackson,"PO Box 980, Woodville 39669",,(601) 888-3511,,(601) 888-1832,,
Winston,Sheriff,Jason Pugh,"PO Box 927, Louisville 39339",,(662) 773-5881,,(662) 773-8831,,
Yalobusha,Sheriff,,,,,,,,
Yazoo,Sheriff,Jake Sheriff,"PO Box 108, Yazoo City 39194",,(662) 746-5611,,(662) 746-3890,,
