"County","Offenders","Percent"
"ADAMS","331","1.38%"
"ALCORN","274","1.14%"
"AMITE","115","0.48%"
"ATTALA","167","0.70%"
"BENTON","38","0.16%"
"BOLIVAR","377","1.57%"
"CALHOUN","264","1.10%"
"CARROLL","91","0.38%"
"CHICKASAW","227","0.95%"
"CHOCTAW","86","0.36%"
"CLAIBORNE","112","0.47%"
"CLARKE","182","0.76%"
"CLAY","314","1.31%"
"COAHOMA","380","1.58%"
"COPIAH","286","1.19%"
"COVINGTON","89","0.37%"
"DESOTO","686","2.86%"
"FORREST","578","2.41%"
"FRANKLIN","85","0.35%"
"GEORGE","128","0.53%"
"GREENE","64","0.27%"
"GRENADA","348","1.45%"
"HANCOCK","291","1.21%"
"HARRISON","1,992","8.30%"
"HINDS","1,491","6.21%"
"HOLMES","154","0.64%"
"HUMPHREYS","137","0.57%"
"ISSAQUENA","8","0.03%"
"ITAWAMBA","91","0.38%"
"JACKSON","679","2.83%"
"JASPER","78","0.33%"
"JEFFERSON","66","0.28%"
"JEFF DAVIS","90","0.38%"
"JONES","390","1.63%"
"KEMPER","44","0.18%"
"LAFAYETTE","233","0.97%"
"LAMAR","293","1.22%"
"LAUDERDALE","973","4.05%"
"LAWRENCE","65","0.27%"
"LEAKE","207","0.86%"
"LEE","724","3.02%"
"LEFLORE","365","1.52%"
"LINCOLN","343","1.43%"
"LOWNDES","975","4.06%"
"MADISON","430","1.79%"
"MARION","255","1.06%"
"MARSHALL","288","1.20%"
"MONROE","324","1.35%"
"MONTGOMERY","148","0.62%"
"NESHOBA","253","1.05%"
"NEWTON","138","0.58%"
"NOXUBEE","100","0.42%"
"OKTIBBEHA","453","1.89%"
"PANOLA","377","1.57%"
"PEARL RIVER","446","1.86%"
"PERRY","84","0.35%"
"PIKE","605","2.52%"
"PONTOTOC","270","1.13%"
"PRENTISS","191","0.80%"
"QUITMAN","104","0.43%"
"RANKIN","750","3.13%"
"SCOTT","353","1.47%"
"SHARKEY","34","0.14%"
"SIMPSON","104","0.43%"
"SMITH","41","0.17%"
"STONE","118","0.49%"
"SUNFLOWER","285","1.19%"
"TALLAHATCHIE","175","0.73%"
"TATE","168","0.70%"
"TIPPAH","95","0.40%"
"TISHOMINGO","80","0.33%"
"TUNICA","163","0.68%"
"UNION","217","0.90%"
"WALTHALL","173","0.72%"
"WARREN","380","1.58%"
"WASHINGTON","536","2.23%"
"WAYNE","220","0.92%"
"WEBSTER","71","0.30%"
"WILKINSON","58","0.24%"
"WINSTON","200","0.83%"
"YALOBUSHA","100","0.42%"
"YAZOO","152","0.63%"
"Verification Pending","146","0.61%"
"TOTAL","23,996","100.00%"
