"Violation","","Feb-05  Mar-05","","Apr-05  May-05","Jun-05","Total","Percent"
"Escape - Return","10","13","15","11","15","135","1.42%"
"Interstate Compact","0","0","0","0","0","1","0.01%"
"ISP-Prison","0","0","1","0","0","2","0.02%"
"New Prisoner","461","651","406","472","411","5,382","56.57%"
"Non-Adjudicated Probation","0","0","0","0","0","2","0.02%"
"Parole Revoked - Alleged","0","0","0","0","0","5","0.05%"
"Parole Revoked - New","0","0","1","0","0","6","0.06%"
"Parole Revoked - Technical","0","1","0","2","0","63","0.66%"
"Parole Violation","0","0","2","1","0","4","0.04%"
"Post Release Probation","1","0","0","0","1","5","0.05%"
"Probation Revoked","215","271","223","261","242","2,788","29.30%"
"Return-Abscond","0","0","0","0","0","2","0.02%"
"Return - ERS","32","33","42","47","48","408","4.29%"
"Return - House Arrest","37","37","36","57","42","471","4.95%"
"Returned Parole","23","22","19","27","33","230","2.42%"
"Sentenced to Probation","0","1","0","1","0","10","0.11%"
"TOTAL","779","1,029","745","879","792","9,514","100.00%"
