"COUNTY","OFFENDERS  PERCENT",""
"Pearl River","1","0.98%"
"Perry","0","0.00%"
"Pike","7","6.86%"
"Pontotoc","1","0.98%"
"Prentiss","0","0.00%"
"Quitman","0","0.00%"
"Rankin","1","0.98%"
"Scott","0","0.00%"
"Sharkey","0","0.00%"
"Simpson","0","0.00%"
"Smith","0","0.00%"
"Stone","1","0.98%"
"Sunflower","1","0.98%"
"Tallahatchie","4","3.92%"
"Tate","0","0.00%"
"Tippah","0","0.00%"
"Tishomingo","1","0.98%"
"Tunica","0","0.00%"
"Union","1","0.98%"
"Walthall","2","1.96%"
"Warren","0","0.00%"
"Washington","4","3.92%"
"Wayne","1","0.98%"
"Webster","0","0.00%"
"Wilkinson","0","0.00%"
"Winston","0","0.00%"
"Yalobusha","0","0.00%"
