"Travel Permit","30","19","27","3","19","14"
"Reporting Instruction","75","90","78","90","63","74"
"Investigation","131","149","152","124","54","142"
"Acceptance","79","84","62","88","144","93"
"Rejection","41","49","41","44","31","48"
"Cancellation","2","0","10","0","3","2"
"Pending","43","31","41","48","63","142"
"Progress Report","56","45","106","172","93","85"
"Violation","42","24","32","37","22","46"
"Probation Warrant","4","4","2","5","2","1"
"Parole Warrant","1","1","3","2","2","0"
"Closure","62","27","82","92","68","48"
"Discharge","17","19","32","23","12","6"
"New File","64","76","56","55","32","86"
"Updates","127","138","445","309","388","196"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","0","0","0","0","0"
"TOTAL","774","2,530","1,169","1,092","2,425","983"
