COUNTY,5-Jun,4-Jun,3-Jun,2-Jun,1-Jun,Jun-00,Jun-99,Jun-98,Jun-97,Jun-96,Jun-95,TOTAL
Adams,4,1,1,0,5,0,7,0,0,0,1,19
Alcorn,5,8,5,11,12,9,0,1,2,5,0,58
Amite,1,0,2,0,7,0,0,0,0,0,0,10
Attala,2,1,3,4,3,8,8,1,1,1,0,32
Benton,0,0,0,0,1,3,1,0,0,0,5,10
Bolivar,5,8,7,8,10,10,10,3,4,1,0,66
Calhoun,4,0,3,13,6,10,7,2,0,0,0,45
Carroll,3,5,2,4,5,0,0,0,0,0,7,26
Chickasaw,3,6,6,5,5,9,4,2,3,2,1,46
Choctaw,1,2,1,0,2,2,5,0,0,0,0,13
Claiborne,0,0,1,6,2,1,0,0,0,0,0,10
Clarke,1,0,0,1,2,2,0,1,0,0,0,7
Clay,8,6,5,1,4,14,5,2,1,1,0,47
Coahoma,1,3,3,14,5,15,8,5,6,3,0,63
Copiah,4,4,11,5,11,9,8,2,2,2,3,61
Covington,2,3,1,2,2,0,0,0,0,0,1,11
DeSoto,5,9,17,14,13,15,15,4,0,0,0,92
Forrest,9,6,12,9,22,18,12,5,2,13,20,128
Franklin,2,0,1,0,0,0,0,0,0,0,0,3
George,3,7,10,2,2,0,0,0,0,0,0,24
Greene,0,0,0,0,2,1,0,0,0,0,0,3
Grenada,2,3,1,2,8,2,5,5,0,5,4,37
Hancock,7,1,2,7,8,5,0,3,1,9,2,45
Harrison,23,29,28,27,56,26,22,7,6,2,9,235
Hinds,16,11,21,16,30,28,35,9,8,17,50,241
Holmes,2,2,3,3,5,9,10,1,0,0,0,35
Humphreys,1,0,1,4,4,2,2,2,1,3,0,20
Issaquena,1,0,1,1,0,0,0,0,0,0,0,3
Itawamba,2,1,1,0,3,1,1,0,0,1,1,11
Jackson,7,14,11,7,14,6,5,5,1,11,5,86
Jasper,0,0,1,0,0,2,0,0,0,0,0,3
Jefferson,1,0,1,3,4,0,0,0,0,0,0,9
Jeff Davis,0,1,0,0,0,0,0,0,0,0,0,1
Jones,8,10,11,8,10,23,9,0,1,1,2,83
Kemper,0,0,1,2,3,0,0,0,0,0,0,6
Lafayette,5,6,4,10,8,5,5,2,0,0,0,45
Lamar,6,4,0,2,2,0,0,0,0,0,2,16
Lauderdale,13,22,11,20,33,54,41,16,0,0,0,210
Lawrence,2,0,0,0,0,0,0,0,0,0,0,2
Leake,9,5,6,10,0,0,0,0,0,0,0,30
Lee,18,7,13,10,23,10,6,4,2,8,11,112
Leflore,3,5,4,5,6,4,2,1,3,2,9,44
Lincoln,2,3,6,4,12,10,8,2,0,0,5,52
Lowndes,15,17,12,14,20,21,19,8,2,0,0,128
Madison,8,7,6,2,2,2,5,2,0,1,3,38
Marion,10,7,5,6,1,1,0,0,0,0,1,31
Marshall,4,1,3,6,12,17,6,0,0,0,0,49
Monroe,11,8,9,4,10,11,11,6,2,1,2,75
Montgomery,2,0,5,3,5,3,4,4,0,1,2,29
Neshoba,8,17,10,9,0,0,0,0,0,0,0,44
Newton,7,8,5,5,5,0,0,0,0,0,0,30
Noxubee,3,0,0,3,1,0,1,2,1,0,0,11
Oktibbeha,7,15,2,5,6,9,6,3,2,1,0,56
Panola,4,11,15,7,17,7,6,0,0,0,0,67
Pearl River,7,5,8,9,7,0,0,0,0,0,0,36
Perry,0,0,0,0,0,0,0,1,0,0,1,2
Pike,7,9,3,1,10,17,8,4,0,2,8,69
Pontotoc,8,7,7,9,9,7,2,1,1,1,0,52
Prentiss,4,3,7,7,7,2,3,5,2,5,2,47
Quitman,1,1,0,1,5,4,6,1,1,0,0,20
Rankin,15,27,21,19,24,23,4,7,1,3,7,151
Scott,10,9,5,4,4,0,0,0,0,0,0,32
Sharkey,1,0,2,1,1,1,0,0,1,0,0,7
Simpson,3,1,6,5,3,0,0,0,0,0,1,19
Smith,3,3,1,1,2,1,0,0,0,0,0,11
Stone,3,0,1,3,2,0,2,0,0,0,0,11
Sunflower,8,2,2,3,8,11,9,3,1,2,10,59
Tallahatchie,2,2,1,3,6,0,0,2,0,4,2,22
Tate,1,1,7,2,4,2,3,0,0,0,0,20
Tippah,3,3,3,2,4,8,9,0,1,0,0,33
Tishomingo,1,3,0,1,0,1,0,1,2,1,0,10
Tunica,0,0,0,0,4,3,6,0,0,1,0,14
Union,6,6,4,6,8,8,4,3,2,1,7,55
Walthall,1,1,1,0,4,3,3,4,2,3,1,23
Warren,11,10,10,5,14,11,8,3,4,0,1,77
Washington,8,4,8,6,15,19,14,3,1,4,9,91
Wayne,3,6,6,5,11,10,5,0,0,0,0,46
Webster,3,9,2,3,3,3,2,0,4,4,0,33
Wilkinson,0,0,1,1,0,0,0,0,0,0,0,2
Winston,5,2,0,1,7,13,15,2,1,0,0,46
Yalobusha,3,7,3,2,4,2,2,0,0,0,0,23
Yazoo,3,4,2,5,10,10,7,0,0,0,0,41
TOTALS,390,409,401,409,605,543,411,150,75,122,195,"3,710"
