"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC  OTHER",""
"Child Support","6","8","0","0"
"Compounding Crime","31","9","0","0"
"Concealed Stolen Property","1","0","0","0"
"Conspiracy","24","11","0","0"
"Conspiracy to Commit a Crime","17","20","0","1"
"Counterfeiting","1","1","0","0"
"Credit Card Fraud","9","16","0","1"
"Crimes Against a Person","3","2","0","0"
"Criminal Attempt to Commit","1","0","0","0"
"Cruelty Toward Wife","1","0","0","0"
"Damage Property-Business","1","1","0","0"
"Discharge Firearm","20","7","1","0"
"Disorderly Conduct/Creating Turmoil","2","0","0","0"
"Domestic Violence Order","6","2","0","0"
"DUI Death","3","7","3","0"
"DUI Manslaughter","6","6","0","0"
"Embezzle","1","0","0","0"
"Embezzlement","52","57","0","0"
"Escape - Jail","7","6","0","0"
"Extortion","3","1","0","0"
"Fail to Obey Officer","2","0","0","0"
"False Information","1","0","0","0"
"False Pretense","37","37","0","0"
"False Report of a Crime","1","1","0","0"
"Family Offense","1","0","0","0"
"Felony Domestic Violence","19","5","0","0"
"Felony DUI","466","543","7","12"
"Firearms Discharge","1","0","0","0"
"Flight to Avoid","0","1","0","0"
"Flight/Escape","1","0","0","0"
"Forgery","12","9","0","0"
"Fraud","6","9","0","0"
"Fraud by Wire","0","0","0","0"
"Fraud in Obtaining Public Assistance","1","0","0","0"
"Fraud - Abuse Computer","2","0","0","0"
"Fraud - Impersonation","0","2","1","0"
"Fraud - Swindle","2","1","0","0"
