"LOCATION","JUL","AUG","SEP","OCT","NOV","DEC"
"Mississippi State Penitentiary","4,848","4,834","4,814","4,772","4,647","4,641"
"Central Mississippi Correctional Facility","3,128","3,108","3,152","3,152","3,101","3,063"
"South Mississippi Correctional Institu-
tion","2,180","2,172","2,171","2,176","2,167","2,146"
"County Jails","2,116","2,121","2,078","1,998","1,891","1,927"
"Community Work Centers","1,709","1,678","1,670","1,685","1,689","1,718"
"County/Regional Correctional Facilities","2,738","2,741","2,740","2,741","2,739","2,737"
"Private Prisons","4,491","4,563","4,582","4,637","4,750","4,765"
"Restitution Centers","13","13","12","12","14","13"
"Governor's Mansion","5","5","5","5","5","5"
"E-CODE","26","21","20","26","14","6"
"TOTAL","21,255","21,257","21,246","21,204","21,018","21,022"
"","","","","","",""
"ACTUAL TOTAL CAPACITY","22,119","","22,104   22,198   22,088   22,088   22,180","","",""
