"FEMALES","","","","","",""
"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","44","61","0","1","106","1.35%"
"1 - 2 Years","112","144","1","2","259","3.31%"
"3 - 5 Years","178","255","1","2","436","5.57%"
"6 - 10 Years","55","53","1","0","109","1.39%"
"11 - 20 Years","12","10","0","0","22","0.28%"
"21 -30 Years","4","3","0","0","7","0.09%"
"Greater Than 30 Years","1","0","0","0","1","0.01%"
"Life","6","2","0","0","8","0.10%"
"Verification Pending","4","11","0","0","15","0.19%"
"TOTAL","416","539","3","5","963","12.29%"
