"Jun-00","Jun-99","Jun-98","Jun-97","Jun-96","TOTAL"
"17","23","0","0","0","163"
"0","0","21","31","25","233"
"0","0","0","0","0","93"
"5","7","14","10","2","73"
"2","0","0","0","0","15"
"35","22","38","40","24","322"
"9","11","5","12","0","91"
"1","2","0","5","3","49"
"16","15","7","11","2","187"
"6","6","6","4","1","41"
"4","0","1","0","0","35"
"6","1","0","0","0","15"
"15","19","18","29","8","174"
"7","12","11","15","2","121"
"21","7","16","1","1","146"
"0","0","0","0","0","15"
"31","33","2","0","0","181"
"37","47","43","37","34","460"
"0","0","0","1","0","32"
"1","0","0","0","0","142"
"0","0","0","0","0","24"
"10","18","10","21","5","94"
"3","1","3","17","10","122"
"81","42","36","67","41","701"
"68","53","59","59","51","588"
"7","11","15","3","9","172"
"14","17","9","11","5","118"
"1","0","0","0","0","4"
"2","1","6","11","9","35"
"15","8","4","10","9","301"
"0","0","0","0","0","15"
"2","0","0","0","0","9"
"0","0","0","0","0","0"
"48","92","88","36","8","661"
"0","0","1","0","0","8"
"24","17","0","0","0","170"
"0","0","0","0","1","44"
"16","20","11","0","0","157"
"0","0","0","0","0","0"
"0","0","0","0","0","33"
"31","40","31","38","14","383"
"19","28","30","37","22","336"
"30","33","20","32","29","282"
"36","48","86","49","10","476"
"9","8","18","10","2","106"
"0","0","0","0","0","135"
"21","13","0","0","0","172"
"6","14","12","8","9","141"
"9","10","17","9","12","91"
"0","0","0","0","0","52"
"1","0","0","0","0","50"
"2","1","8","3","0","36"
"12","6","20","30","5","232"
"10","7","0","0","0","123"
"0","0","0","0","0","146"
"4","7","3","3","1","18"
"27","37","24","27","38","435"
"5","6","11","10","9","131"
"12","22","16","8","20","208"
"1","2","7","1","1","30"
"41","27","21","11","9","356"
"0","0","0","0","0","19"
"5","1","0","0","0","15"
"0","0","0","0","0","28"
"0","0","0","0","0","67"
"3","2","2","2","3","34"
"53","57","39","29","60","429"
"4","3","7","0","0","33"
"6","5","0","0","0","25"
"5","7","0","2","1","59"
"4","4","12","10","8","75"
"7","0","3","0","0","28"
"15","16","3","2","0","149"
"6","2","6","9","5","50"
"22","49","41","30","7","251"
"91","87","79","103","101","901"
"2","4","6","0","0","29"
"7","4","5","2","1","94"
"0","0","0","0","0","15"
"12","13","18","18","2","108"
"1","2","1","0","0","45"
"10","23","12","0","0","219"
"1,033","1,073","982","914","619","12,456"
