"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","1,345","538","432"
"","Therapeutic Community After Care (Unit 25)","167","92","60"
"","Special Needs (Disability Unit 31)","6","4","20"
"","Special Needs (HIV Unit 28)","96","35","48"
"CMCF","Alcohol and Drug Program for Females","475","265","246"
"","Alcohol and Drug Program for Males (Disability 
Unit)","60","35","16"
"SMCI","Regimented Inmate Discipline Area","320","294","19"
"","General Population Program Area","552","327","120"
"3 Community Pre-Release Centers","","529","329","132"
"Flowood CWC (General Population)","","95","63","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","337","153","N/A"
