"FEMALES","","","","",""
"Black","White","Hispanic","Other","Total","Percent"
"0","0","0","0","1",".05%"
"1","0","0","0","2",".10%"
"44","37","0","0","680","34.50%"
"0","0","0","0","1",".05%"
"1","0","0","0","4",".20%"
"0","1","0","0","11",".56%"
"2","7","2","1","171","8.68%"
"0","2","0","0","4",".20%"
"0","1","0","0","19",".96%"
"0","38","0","0","190","9.64%"
"6","7","0","0","98","4.97%"
"3","1","0","0","60","3.04%"
"0","3","0","0","51","2.59%"
"0","11","0","0","66","3.35%"
"13","58","1","0","492","24.96%"
"0","18","0","0","114","5.78%"
"0","0","0","0","7",".36%"
"70","184","3","1","1,971","100.00%"
