"","COUNTY  OFFENDERS","PERCENT"
"Pearl River","14","2.19%"
"Perry","2",".31%"
"Pike","24","3.75%"
"Pontotoc","10","1.56%"
"Prentiss","8","1.25%"
"Quitman","3",".47%"
"Rankin","36","5.63%"
"Scott","6",".94%"
"Sharkey","0",".00%"
"Simpson","1",".16%"
"Smith","2",".31%"
"Stone","7","1.09%"
"Sunflower","4",".63%"
"Tallahatchie","3",".47%"
"Tate","4",".63%"
"Tippah","4",".63%"
"Tishomingo","5",".78%"
"Tunica","7","1.09%"
"Union","4",".63%"
"Walthall","2",".31%"
"Warren","7","1.09%"
"Washington","7","1.09%"
"Wayne","2",".31%"
"Webster","2",".31%"
"Wilkinson","0",".00%"
"Winston","5",".78%"
"Yalobusha","1",".16%"
