"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Criminal Attempt to Commit","2","0","0","0"
"Domestic Violence Order","1","0","0","0"
"Embezzle","0","0","0","0"
"Embezzlement","6","5","0","0"
"Exploitation of Vulnerable Adult","0","1","0","0"
"False Information","0","0","0","0"
"False Pretense","1","2","0","0"
"Felony DUI","51","45","1","0"
"Flight to Avoid","0","1","0","0"
"Forgery","0","1","0","0"
"Fraud in Obtaining Public Assistance","1","0","0","0"
"Grand Larceny","7","8","0","0"
"Leaving Scene of Accident","1","0","0","0"
"Malicious Mischief","1","0","0","0"
"Operating Chop Shop","0","1","0","0"
"Possession of Firearm by Convicted Felon","7","2","0","0"
"Possession Weapon/Felon","4","3","0","0"
"Prescription Forgery","1","2","0","0"
"Receiving Stolen Property","0","4","0","0"
"Shoplifting","12","2","0","0"
"Simple Assault-Police Officer","2","1","0","0"
"Stolen Property","1","0","0","0"
"Uttering Forgery","8","3","0","0"
"Vehicle Theft","2","3","0","0"
"Worthless Checks","2","1","0","0"
"TOTAL","115","92","1","0"
