"","FUND
FUND
FUND
FUND"
"","2551
3551
3556
3554/3557
TOTALS"
"MSP","$ 45,472,208   $ 1,504,807   $                       -   $                      -   $ 46,977,015"
"CMCF","$ 21,685,561   $ 728,507   $                       -   $                      -   $ 22,414,068"
"SMCI","$ 15,203,331   $ 439,570   $                       -   $                      -   $ 15,642,901"
"CWC","$ 9,791,165   $                     -   $                       -   $                      -   $ 9,791,165"
"PAR/PROB","$ 4,367,180   $ 1,508,470   $ 6,722,982   $                      -   $ 12,598,632"
"House Arrest","$ 909,274   $                     -   $ 3,130,873   $                     -   $ 4,040,147"
"Restitution Center   $ 1,997,126   $                     -   $                       -   $                      -   $ 1,997,126",""
"Admin(Sal)","$ 9,319,311   $ 774,511   $                       -   $ 300,000   $ 10,393,822"
"Admin(Other)","$ 22,501,067   $ 1,135,600   $                       -   $ 394,482   $ 24,031,149"
"Utilities","$ 5,691,063   $ 502,759   $ 250,000   $                      -   $ 6,443,822"
"SUB-TOTAL","$ 136,937,286  $ 6,594,224   $ 10,103,855  $ 694,482   $ 154,329,847"
"Medical","2554



 $ 42,843,048"
"Local Confinement","2557

 $ 9,159,490"
"Parole Board","$ 590,499
2553"
"Ag Enterprises","3552

 $ 2,501,425"
"Private Prisons","$ 72,891,594
2555"
"Regional Facilities","$ 29,929,742
2556"
"GRAND TOTAL","$ 312,245,645"
