"","Northern County with highest number convictions","Desoto","20"
"","Central County with highest number convictions","Hinds","39"
"","Southern County with highest number convictions","Harrison","26"
"","","Alcorn, Choctaw,",""
"RECAP","","",""
"","Northern Counties with lowest number convictions","Sunflower, Tishomingo,","1"
"","","Webster",""
"","","Amite, Holmes,",""
"","Central Counties with lowest number convictions","Humphreys, Issaquena,","1"
"","","Jefferson, Walthall",""
"","","Covington, Lawrence,",""
"","Southern Counties with lowest number convictions","","11"
"","","Neshoba, Noxubee",""
