"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,649 
  
1,218 
  
9,867","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","2,982","680","","3,662","37.11"
"Black","5,544","526","","6,070","61.52"
"Hispanic","81","4","","85",".86"
"Other","30","8","","38",".39"
"Unknown Race","12","0","","12",".12"
"","","","","",""
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"14","2","0","","2",".02"
"15","7","0","","7",".07"
"16","15","0","","15",".15"
"17","84","1","","85",".86"
"18  -  19","490","33","","523","5.30"
"20  -  29","3,681","399","","4,080","41.35"
"30  -  39","2,283","411","","2,694","27.30"
"40  -  49","1,495","297","","1,792","18.16"
"50  -  59","507","64","","571","5.79"
"60  -  69","69","10","","79",".80"
"70  -  79","16","3","","19",".19"
"","","","","",""
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,437","87","","","1,524  15.45%"
"Homicide/Manslaughter","201","24","","225","2.28%"
"Property","2,301","523","","","2,824  28.62%"
"Possession of Drugs","2,259","341","","","2,600  26.35%"
"Robbery","479","39","","518","5.25%"
"Sale of Drugs","1,064","144","","","1,208  12.24%"
"Sex Offense","414","7","","421","4.27%"
"Violent","494","53","","547","5.54%"
