"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","13","18","6","10","10","0","2"
"ISP-Prison","1","0","0","0","0","0","1"
"New Prisoner","402","508","418","484","350","379","380"
"Non Reporting Probation","0","0","0","0","0","0","1"
"Non-Adjudicated RID","0","3","1","3","6","4","17"
"Parole Revoke-Technical","0","0","0","0","0","0","1"
"Post Release Probation","1","0","1","4","0","4","2"
"Probation Awaiting","0","1","0","0","0","0","0"
"Probation Revoked","241","347","272","298","237","255","246"
"Return-Abscond","0","0","3","0","0","0","0"
"Return - ERS","47","43","43","44","40","39","57"
"Return - House Arrest","40","25","34","43","32","39","41"
"Returned Parole","15","34","13","19","33","14","38"
"Sentenced to Probation","0","0","0","0","0","0","0"
"TOTAL","760","979","791","905","708","734","786"
