"COUNTY","JUN-07","JUN-06","JUN-05","JUN-04","JUN-03","JUN-02"
"Lauderdale","14","20","10","19","18","20"
"Lawrence","4","0","0","0","0","0"
"Leake","4","4","6","4","13","6"
"Lee","40","49","30","42","35","46"
"Leflore","20","23","45","40","40","32"
"Lincoln","18","19","16","12","26","33"
"Lowndes","28","18","29","57","34","62"
"Madison","26","36","4","4","2","6"
"Marion","33","39","46","26","14","10"
"Marshall","20","23","15","43","20","19"
"Monroe","24","21","22","12","22","11"
"Montgomery","5","2","3","2","15","9"
"Neshoba","2","10","5","13","16","8"
"Newton","4","6","6","15","19","3"
"Noxubee","2","5","2","0","7","2"
"Oktibbeha","8","40","29","35","28","21"
"Panola","10","23","25","19","6","20"
"Pearl River","37","28","36","29","32","11"
"Perry","1","0","0","0","0","0"
"Pike","24","45","49","56","47","44"
"Pontotoc","17","25","19","17","7","10"
"Prentiss","13","30","26","22","15","15"
"Quitman","3","1","2","4","3","2"
"Rankin","33","47","53","47","36","31"
"Scott","5","0","5","2","8","4"
"Sharkey","0","0","3","0","0","5"
"Simpson","5","5","4","8","4","3"
"Smith","7","18","15","20","3","11"
"Stone","2","1","3","0","2","7"
"Sunflower","39","25","31","34","23","48"
"Tallahatchie","3","4","3","5","1","6"
"Tate","6","1","1","2","3","5"
"Tippah","12","4","8","2","6","9"
"Tishomingo","10","2","12","7","5","6"
"Tunica","2","0","2","1","6","4"
"Union","11","36","13","21","16","18"
"Walthall","10","1","1","0","2","10"
