"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","251","","982","","1,233"
"AUG","","245","","954","","1,199"
"SEP","","241","","929","","1,170"
"OCT","","237","","913","","1,150"
"NOV","","231","","902","","1,133"
"DEC","","229","","891","","1,120"
"JAN","","231","","892","","1,123"
"FEB","","237","","894","","1,131"
"MAR","","245","","897","","1,142"
"APR","","247","","901","","1,148"
"MAY","","247","","902","","1,149"
"JUN","","247","","903","","1,150"
