"FACILITY","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","4,450","4,514","4,507","4,520"
"Central Mississippi Correctional Facility","3,442","3,439","3,412","3,378"
"South Mississippi Correctional Institution","2,379","2,439","2,525","2,585"
"County Jails","1,908","1,868","1,801","1,858"
"Community Work Centers","1,737","1,743","1,741","1,726"
"County/Regional Facilities","3,068","3,069","3,075","3,072"
"Private Prisons","4,904","4,891","4,876","4,885"
"Restitution Centers","12","11","11","10"
"Governor's Mansion","5","5","5","5"
"*E-CODE","27","19","21","38"
"TOTAL","21,932","21,998","21,974","22,077"
"ACTUAL CAPACITY","22,160","22,272","22,444","22,456"
