"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","1","0","0","0","1"
"15","4","0","0","0","4"
"16","13","4","0","0","17"
"17","40","7","0","1","48"
"18 - 19","370","106","2","3","481"
"20 - 29","6,301","2,123","60","28","8,512"
"30 - 39","4,524","1,972","44","14","6,554"
"40 - 49","2,924","1,641","30","4","4,599"
"50 - 59","1,140","658","6","5","1,809"
"60 - 69","161","190","5","2","358"
"70 - 79","36","41","0","0","77"
"80+","3","2","0","0","5"
"Verification Pending","6","2","1","1","10"
"TOTAL","15,523","6,746","148","58","22,475"
