"FACILITY","NOV","DEC","JAN","FEB"
"Mississippi State Penitentiary","4,525","4,506","4,507","4,476"
"Central Mississippi Correctional Facility","3,361","3,361","3,364","3,412"
"South Mississippi Correctional Institution","2,260","2,306","2,285","2,288"
"County Jails","1,807","1,819","1,844","1,876"
"Community Work Centers","1,754","1,760","1,716","1,728"
"County/Regional Facilities","3,072","3,076","3,062","3,069"
"Private Prisons","4,853","4,863","4,849","4,859"
"Restitution Centers","12","13","12","12"
"Governor's Mansion","5","5","5","5"
"*E-CODE","17","4","34","33"
"TOTAL","21,666","21,712","21,677","21,758"
"ACTUAL CAPACITY","22,116","22,116","22,083","22,146"
