"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"562 
 
75 
 
637","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","205","37","","242","37.99"
"Black","351","36","","387","60.75"
"Hispanic","4","1","","5",".78"
"Other","2","1","","3",".47"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"50  -  59","490","66","","556","87.28"
"60  -  69","62","9","","71","11.15"
"70  -  79","9","0","","9","1.41"
"80+","1","0","","1",".16"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Property","181","31","","212","33.28"
"Possession of Drugs","139","22","","161","25.27"
"Sale of Drugs","91","19","","110","17.27"
"Sex Offense","48","0","","48","7.54"
"Burglary","41","3","","44","6.91"
"Violent","34","0","","34","5.34"
"Homicide/Manslaughter","16","0","","16","2.51"
"Robbery","12","0","","12","1.88"
