"COUNTY","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04","JUN '03"
"Adams","5","10","2","4","1","1"
"Alcorn","4","1","5","5","8","5"
"Amite","0","0","1","1","0","2"
"Attala","5","5","0","2","1","3"
"Benton","0","2","0","0","0","0"
"Bolivar","2","3","1","5","8","7"
"Calhoun","1","3","0","4","0","3"
"Carroll","0","2","2","3","5","2"
"Chickasaw","4","3","3","3","6","6"
"Choctaw","2","1","0","1","2","1"
"Clairborne","0","0","2","0","0","1"
"Clarke","0","0","0","1","0","0"
"Clay","7","8","13","8","6","5"
"Coahoma","2","2","0","1","3","3"
"Copiah","6","5","3","4","4","11"
"Covington","0","0","0","2","3","1"
"DeSoto","8","6","4","5","9","17"
"Forrest","8","3","5","9","6","12"
"Franklin","1","0","0","2","0","1"
"George","1","3","1","3","7","10"
"Greene","0","2","1","0","0","0"
"Grenada","2","5","2","2","3","1"
"Hancock","3","2","4","7","1","2"
"Harrison","9","13","1","23","29","28"
"Hinds","11","11","9","16","11","21"
"Holmes","3","1","0","2","2","3"
"Humphreys","0","1","0","1","0","1"
"Issaquena","0","0","0","1","0","1"
"Itawamba","2","0","0","2","1","1"
"Jackson","2","3","4","7","14","11"
"Jasper","0","0","2","0","0","1"
"Jefferson","1","0","0","1","0","1"
"Jeff Davis","0","1","0","0","1","0"
"Jones","6","6","2","8","10","11"
"Kemper","0","0","0","0","0","1"
"Lafayette","3","1","3","5","6","4"
"Lamar","4","1","1","6","4","0"
