"COUNTY","OFFENDERS","%"
"Alcorn","278","3.08"
"Montgomery","133","1.47"
"Attala","242","2.68"
"Panola","402","4.45"
"Benton","73",".81"
"Pontotoc","370","4.10"
"Bolivar","305","3.38"
"Prentiss","247","2.73"
"Calhoun","202","2.24"
"Quitman","97","1.07"
"Carroll","95","1.05"
"Sunflower","289","3.20"
"Chickasaw","258","2.86"
"Tallahatchie","174","1.93"
"Choctaw","81",".90"
"Tate","198","2.19"
"Coahoma","346","3.83"
"Tippah","138","1.53"
"Desoto","864","9.56"
"Tishomingo","85",".94"
"Grenada","380","4.21"
"Tunica","179","1.98"
"Itawamba","170","1.88"
"Union","210","2.32"
"Lafayette","281","3.11"
"Washington","508","5.62"
"Lee","1,014","11.22"
"Webster","98","1.08"
"Leflore","342","3.79"
"Winston","156","1.73"
"Marshall","351","3.89"
"Yalobusha","114","1.26"
"Monroe","354","3.92"
"Adams","311","5.31"
"Lincoln","338","5.77"
"Amite","110","1.88"
"Madison","700","11.94"
"Claiborne","71","1.21"
"Pike","650","11.09"
"Copiah","270","4.61"
"Rankin","814","13.89"
"Franklin","64","1.09"
"Sharkey","29",".49"
"Hinds","1,418","24.19"
"Walthall","173","2.95"
"Holmes","144","2.46"
"Warren","374","6.38"
"Humphreys","84","1.43"
"Wilkinson","56",".96"
"Issaquena","7",".12"
"Yazoo","185","3.16"
"Jefferson","63","1.07"
"Clarke","126","1.17"
"Lawrence","85",".79"
"Clay","399","3.71"
"Leake","173","1.61"
"Covington","77",".72"
"Lowndes","1,244","11.55"
"Forrest","840","7.80"
"Marion","308","2.86"
"George","135","1.25"
"Neshoba","253","2.35"
"Greene","79",".73"
"Newton","136","1.26"
"Hancock","184","1.71"
"Noxubee","84",".78"
"Harrison","2,001","18.58"
"Oktibbeha","621","5.77"
"Jackson","816","7.58"
"Pearl River","347","3.22"
"Jasper","76",".71"
"Perry","71",".66"
"Jeff Davis","62",".58"
"Scott","314","2.92"
"Jones","471","4.37"
"Simpson","115","1.07"
"Kemper","44",".41"
"Smith","53",".49"
"Lamar","270","2.51"
"Stone","86",".80"
"Lauderdale","1,076","9.99"
"Wayne","223","2.07"
"Verification Pending","100",".39"
"TOTAL","25,764","100.00"
