"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","2","14.29","Lincoln","0",".00"
"","Amite","1","7.14","Madison","3","21.43"
"","Claiborne","0",".00","Pike","2","14.29"
"","Copiah","1","7.14","Rankin","2","14.29"
"Central","","","","","",""
"","Franklin","0",".00","Sharkey","0",".00"
"Counties","","","","","",""
"","Hinds","2","14.29","Walthall","1","7.14"
"","Holmes","0",".00","Warren","0",".00"
"","Humphreys","0",".00","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","0",".00"
"","Jefferson","0",".00","TOTAL","14","17.95"
