"","Southern 
 
30","","38.46"
"","0 
 Verification Pending","",".00"
"","TOTAL 
 
78","","100.00"
"","Northern County with highest number convictions","Pontotoc","5"
"","Central County with highest number convictions","Madison","3"
"","Southern County with highest number convictions","Forrest","5"
"","","Alcorn, Benton, Lee",""
"","","Leflore, Monroe, Mont-",""
"RECAP","Northern Counties with lowest number convictions","gomery, Panola, Talla-","1"
"","","hatchie, Tate, Tippah,",""
"","","Washington",""
