"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFENDERS","%"
"","Alcorn","116","3.33","Montgomery","49","1.41"
"","Attala","81","2.32","Panola","147","4.22"
"","Benton","35","1.00","Pontotoc","151","4.33"
"","Bolivar","103","2.96","Prentiss","113","3.24"
"","Calhoun","79","2.27","Quitman","37","1.06"
"","Carroll","29",".83","Sunflower","101","2.90"
"","Chickasaw","108","3.10","Tallahatchie","61","1.75"
"Northern","Choctaw","33",".95","Tate","68","1.95"
"Counties","","","","","",""
"","Coahoma","126","3.62","Tippah","75","2.15"
"","Desoto","354","10.16","Tishomingo","28",".80"
"","Grenada","123","3.53","Tunica","83","2.38"
"","Itawamba","59","1.69","Union","123","3.53"
"","Lafayette","88","2.53","Washington","156","4.48"
"","Lee","418","11.99","Webster","38","1.09"
"","Leflore","124","3.56","Winston","41","1.18"
"","Marshall","165","4.73","Yalobusha","28",".80"
"","Monroe","145","4.16","TOTAL","3,485","34.57"
