"ANNUAL
TOTAL
COST
COST

INMATE
AVERAGE
OPERATING
PER
PER
YEAR
DAYS
POPULATION
DAY
YEAR
COST","","","","",""
"2009","4,558,112","12,488","$ 185,425,498","$ 40.68","$ 14,848.20"
"2008","4,620,350","12,658","$ 188,783,046","","$ 40.86   $ 14,913.55"
"2007","4,339,221","11,888","$ 166,308,088","","$ 38.33   $ 13,989.58"
"2006","4,145,258","11,357","","$ 151,254,392   $ 36.49   $ 13,318.85",""
"2005","4,229,129","11,587","","$ 147,397,761   $ 34.85   $ 12,720.25",""
"2004","4,530,714","12,379","","$ 165,568,118   $ 36.54   $ 13,373.64",""
"2003","4,345,615","11,905","","$ 161,154,849   $ 37.08   $ 13,535.83",""
"2002","4,214,787","11,547","","$ 160,599,994   $ 38.10   $ 13,907.94",""
"2001","4,118,814","11,284","","$ 159,174,281   $ 38.65   $ 14,105.67",""
"2000","3,665,197","10,042","","$ 157,276,087   $ 42.91   $ 15,662.40",""
"1999","3,602,002","9,868","","$ 146,086,332   $ 40.56   $ 14,803.30",""
