"Security Staff by Rank   
Authorized 
  
Filled","","",""
"Correctional Officer Trainee","568","","479"
"Correctional Officer I","391","","324"
"Correctional Officer II","174","","165"
"Correctional Officer III","202","","167"
"Correctional Officer IV","826","","698"
"Correctional Supervisor","168","","136"
"Correctional Commander","54","","51"
"Deputy Warden","10","","10"
"Warden","8","","8"
"Field Worker","26","","25"
"Field Officer I","26","","24"
"Field Officer II","56","","48"
"Field Officer III","176","","170"
"TOTAL","2,685","","2,305"
