"","","","Sex Offenders","","",""
"","","","General Characteristics","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","3","1.74","Lawrence","2","1.16"
"","Clay","3","1.74","Leake","0",".00"
"","Covington","2","1.16","Lowndes","17","9.88"
"","Forrest","9","5.23","Marion","5","2.91"
"","George","0",".00","Neshoba","2","1.16"
"","Greene","0",".00","Newton","0",".00"
"","Hancock","5","2.91","Noxubee","0",".00"
"Southern","","","","","",""
"","Harrison","28","16.28","Oktibbeha","11","6.40"
"Counties","","","","","",""
"","Jackson","24","13.95","Pearl River","7","4.07"
"","Jasper","0",".00","Perry","4","2.33"
"","Jeff Davis","0",".00","Scott","4","2.33"
"","Jones","8","4.65","Simpson","1",".58"
"","Kemper","0",".00","Smith","1",".58"
"","Lamar","13","7.56","Stone","4","2.33"
"","Lauderdale","18","10.47","Wayne","1",".58"
"","","","","TOTAL","172","42.05"
