"","TOTAL 
 
664","100.00"
"","Northern County with highest number convictions","Desoto 
36"
"","Central County with highest number convictions","Hinds 
28"
"","Southern County with highest number convictions","Harrison 
76"
"RECAP","","Tallahatchie,"
"","Northern Counties with lowest number convictions","1"
"","","Tishomingo"
"","","Amite, Claiborne,"
"","Central Counties with lowest number convictions","1"
"","","Sharkey, Wilkinson"
"","","Greene, Jeff Davis,"
"","Southern Counties with lowest number convictions","Kemper, Newton, 
1"
"","","Simpson"
