"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","342","265","8","5","620","6.89"
"1 - 2 Years","1,075","552","32","3","1,662","18.47"
"3 - 5 Years","2,035","1,123","30","9","3,197","35.53"
"6 - 10 Years","1,580","771","22","10","2,383","26.48"
"11 - 20 Years","658","263","8","1","930","10.34"
"21 -30 Years","77","26","2","1","106","1.18"
"Greater Than 30 Years","38","3","0","0","41",".46"
"Life","39","17","0","0","56",".62"
"Death","0","0","0","0","0",".00"
"Verification Pending","2","0","1","0","3",".03"
"TOTAL","5,846","3,020","103","29","8,998","100.00"
