"JUN '04","JUN '03","JUN '02","JUN '01","JUN '00","TOTAL"
"6","19","19","30","17","206"
"25","25","24","11","0","292"
"28","12","11","11","0","138"
"5","11","9","6","5","55"
"1","3","6","1","2","35"
"27","31","43","32","35","267"
"2","9","20","14","9","98"
"10","3","2","0","1","55"
"36","18","17","20","16","224"
"1","5","5","3","6","35"
"1","4","5","8","4","42"
"0","1","1","5","6","16"
"10","12","10","17","15","131"
"17","12","6","6","7","133"
"17","12","19","26","21","161"
"7","4","3","0","0","41"
"16","15","17","14","31","247"
"24","36","54","44","37","449"
"0","14","5","5","0","63"
"30","29","28","7","1","195"
"0","7","7","4","0","45"
"7","8","5","9","10","59"
"5","11","10","22","3","159"
"87","74","93","85","81","888"
"56","48","53","67","68","491"
"13","24","26","23","7","185"
"2","18","20","14","14","96"
"0","0","0","2","1","4"
"1","2","0","1","2","74"
"39","61","81","22","15","398"
"4","0","1","0","0","40"
"2","0","2","2","2","22"
"0","0","0","0","0","19"
"55","48","63","71","48","708"
"2","0","4","0","0","12"
"18","16","16","26","24","253"
"5","14","11","3","0","107"
