"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","2","0","0","0","1","0","0"
"Interstate Compact","0","0","0","0","1","0","0"
"ISP-Prison","0","0","0","0","0","1","2"
"New Prisoner","447","433","491","441","417","419","288"
"Non-Adjudicated Probation","0","1","0","0","0","0","0"
"Non-Adjudicated RID","5","17","8","5","10","6","6"
"Parole Violation","0","0","0","1","0","0","0"
"Post Release Probation","1","0","3","2","0","2","0"
"Probation-Awaiting","0","1","0","0","0","0","0"
"Probation Revoked","239","259","293","252","201","237","175"
"Return-Abscond","16","4","8","11","1","0","0"
"Return - ERS","35","41","38","32","33","29","40"
"Return - House Arrest","44","33","37","25","22","36","37"
"Returned - Medical","0","0","0","1","0","0","0"
"Returned Parole","43","52","36","54","37","46","30"
"Sentenced to Probation","0","0","0","0","0","0","0"
"TOTAL","832","841","914","824","723","776","578"
