"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Abscond","0","0","0","0","0","6",".06"
"Absconded Supervision","0","0","0","0","0","1",".01"
"Appeal","0","1","0","0","0","1",".01"
"Closed","0","0","1","0","0","3",".03"
"Death","1","0","0","0","0","6",".06"
"Death/Accident","0","0","0","0","0","4",".04"
"Death/Execution","0","0","0","1","0","2",".02"
"Death/Natural Causes","6","5","2","3","5","45",".48"
"Death/Suicide","0","1","1","0","0","4",".04"
"Discharge to Probation","3","3","3","3","1","61",".65"
"Discharged","8","16","12","9","7","132","1.41"
"Discharged-Held In","0","0","0","0","0","5",".05"
"ERS","143","168","150","162","130","1,663","17.78"
"Expiration","83","128","80","90","96","1,328","14.20"
"Governor's Suspension","0","0","0","0","0","2",".02"
"House Arrest/ISP","6","121","7","72","53","656","7.02"
"Medical Release","1","0","0","0","0","6",".06"
"Parole","149","212","184","198","167","2,078","22.22"
"Parole Continued","17","25","14","23","4","176","1.88"
"Pending","0","0","0","1","0","4",".04"
"Pending Arrival","2","2","0","3","0","15",".16"
"Probation","188","206","189","170","176","2,434","26.03"
"Rejected","0","2","0","1","0","4",".04"
"Remanded","0","0","0","1","0","2",".02"
"Rendered","0","0","0","1","0","3",".03"
"Shock Probation","9","6","8","1","0","73",".78"
"Unsupervised Probation","3","0","0","3","1","33",".35"
"Release Type Unknown","53","50","31","39","30","604","6.46"
"TOTAL","672","946","682","781","670","9,351","100.00"
