"JUN '05","JUN '04","JUN '03","JUN '02","JUN '01","TOTALS"
"10","19","18","20","23","173"
"0","0","0","0","0","30"
"6","4","13","6","0","59"
"30","42","35","46","27","507"
"45","40","40","32","20","283"
"16","12","26","33","32","254"
"29","57","34","62","47","382"
"4","4","2","6","7","216"
"46","26","14","10","0","252"
"15","43","20","19","18","275"
"22","12","22","11","4","237"
"3","2","15","9","3","49"
"5","13","16","8","0","68"
"6","15","19","3","0","63"
"2","0","7","2","6","41"
"29","35","28","21","6","233"
"25","19","6","20","13","165"
"36","29","32","11","10","370"
"0","0","0","0","0","4"
"49","56","47","44","41","478"
"19","17","7","10","12","191"
"26","22","15","15","22","230"
"2","4","3","2","6","33"
"53","47","36","31","33","431"
"5","2","8","4","0","45"
"3","0","0","5","1","18"
"4","8","4","3","4","60"
"15","20","3","11","0","110"
"3","0","2","7","9","44"
"31","34","23","48","30","299"
"3","5","1","6","0","37"
"1","2","3","5","2","38"
"8","2","6","9","15","87"
"12","7","5","6","5","99"
"2","1","6","4","5","39"
"13","21","16","18","9","193"
"1","0","2","10","8","63"
