"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","306","","1,081","","1,387"
"AUG","","322","","1,140","","1,462"
"SEP","","336","","1,182","","1,518"
"OCT","","352","","1,230","","1,582"
"NOV","","364","","1,289","","1,653"
"DEC","","386","","1,339","","1,725"
"JAN","","403","","1,400","","1,803"
"FEB","","421","","1,447","","1,868"
"MAR","","241","","863","","1,104"
"APR","","458","","1,579","","2,037"
"MAY","","470","","1,633","","2,103"
"JUN","","484","","1,698","","2,182"
