"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","1,289","479","432"
"","Special Needs (Disability Unit 31)","5","2","20"
"","Special Needs (Unit 29-A)","25","13","48"
"CMCF","A & D Program for Females","465","280","232"
"","A & D Program for Males (Disability Unit)","42","29","16"
"SMCI","Regimented Inmate Discipline Area","202","130","Open"
"","General Population Program Area","910","523","Open Entry/Exit"
"3 Community Pre-Release Centers","","262","126","132"
"Flowood CWC (General Population)","","63","56","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","173","N/A","N/A"
