"MISSISSIPPI STATE PENITENTIARY","",""
"Program Area 
Enrollment Capacity 
Program Length","",""
"Adult Basic Education (Literacy, ABE, GED)","170","Open Entry/Exit"
"Agri-Business Horticulture","15","1,750 Hours"
"Auto/Automotive Body Repair","15","1,600 Hours"
"Auto/Automotive Mechanic/Technician","15","1,750 Hours"
"Carpentry","15","1,750 Hours"
"Communications System Installation (U/30)","15","1,200 Hours"
"Diesel Equipment Repair & Services","15","1,260 Hours"
"Electrical","15","1,450 Hours"
"Heating, Air Conditioning & Refrig. (U/30)","15","1,200 Hours"
"Outboard Engine Mechanics (U/30)","15","1,200 Hours"
"Welder/Welding Technologist","15","1,400 Hours"
"Auto/Automotive Body Repair (Night)","15","1,600 Hours"
"Auto/Automotive Mechanic/Technician (Night)","15","1,750 Hours"
"Carpentry (Night)","15","1,750 Hours"
"Electrical (Night)","15","1,450 Hours"
"Outboard Engine Mechanics (Night)","15","1,200 Hours"
"Welder/Welding Technologist (Night)","15","1,400 Hours"
