"COUNTY","OFFENDERS","%"
"Clarke","22","1.29"
"Lawrence","11",".06"
"Clay","28","1.64"
"Leake","23","1.35"
"Covington","6",".35"
"Lowndes","133","7.79"
"Forrest","108","6.33"
"Marion","32","1.87"
"George","36","2.11"
"Neshoba","38","2.23"
"Greene","13",".76"
"Newton","26","1.52"
"Hancock","87","5.10"
"Noxubee","1",".06"
"Harrison","414","24.25"
"Oktibbeha","83","4.86"
"Jackson","230","13.47"
"Pearl River","52","3.05"
"Jasper","19","1.11"
"Perry","17","1.00"
"Jeff Davis","9",".53"
"Scott","38","2.23"
"Jones","32","1.87"
"Simpson","21","1.23"
"Kemper","10",".59"
"Smith","16",".94"
"Lamar","28","1.64"
"Stone","31","1.82"
"Lauderdale","105","6.15"
"Wayne","38","2.23"
"TOTAL","1,707","45.35"
