"","","","Youthful Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","0",".00","Montgomery","0",".00"
"","Attala","2","4.76","Panola","3","7.14"
"","Benton","0",".00","Pontotoc","0",".00"
"","Bolivar","3","7.14","Prentiss","0",".00"
"","Calhoun","1","2.38","Quitman","0",".00"
"","Carroll","0",".00","Sunflower","2","4.76"
"","Chickasaw","0",".00","Tallahatchie","1","2.38"
"Northern","Choctaw","0",".00","Tate","0",".00"
"Counties","","","","","",""
"","Coahoma","3","7.14","Tippah","1","2.38"
"","Desoto","12","28.57","Tishomingo","0",".00"
"","Grenada","0",".00","Tunica","0",".00"
"","Itawamba","2","4.76","Union","1","2.38"
"","Lafayette","1","2.38","Washington","1","2.38"
"","Lee","2","4.76","Webster","0",".00"
"","Leflore","1","2.38","Winston","1","2.38"
"","Marshall","1","2.38","Yalobusha","3","7.14"
"","Monroe","1","2.38","TOTAL","42","43.75"
