COUNTY,OFFENDERS,%
Adams,75,3.3
Alcorn,149,4.47
Amite,34,1.5
Attala,61,1.83
Benton,23,0.69
Bolivar,91,2.73
Calhoun,70,2.1
Carroll,18,0.54
Chickasaw,71,2.13
Choctaw,36,1.08
Claiborne,22,0.97
Clarke,57,1.38
Clay,63,1.52
Coahoma,94,2.82
Copiah,123,5.41
Covington,29,0.7
Desoto,476,14.26
Forrest,319,7.71
Franklin,22,0.97
George,71,1.71
Greene,30,0.72
Grenada,93,2.79
Hancock,166,4.01
Harrison,877,21.18
Hinds,569,25.02
Holmes,42,1.85
Humphreys,25,1.1
Issaquena,3,0.13
Itawamba,74,2.22
Jackson,477,11.52
Jasper,26,0.63
Jeff Davis,25,0.6
Jefferson,25,1.1
Jones,162,3.91
Kemper,25,0.6
Lafayette,106,3.18
Lamar,122,2.95
Lauderdale,341,8.24
Lawrence,35,0.85
Leake,54,1.3
Lee,403,12.08
Leflore,91,2.73
Lincoln,115,5.06
Lowndes,274,6.62
Madison,283,12.45
Marion,104,2.51
Marshall,167,5
Monroe,121,3.63
Montgomery,33,0.99
Neshoba,110,2.66
Newton,60,1.45
Noxubee,11,0.27
Oktibbeha,183,4.42
Panola,141,4.23
Pearl River,137,3.31
Perry,34,0.82
Pike,215,9.45
Pontotoc,129,3.87
Prentiss,111,3.33
Quitman,24,0.72
Rankin,476,20.93
Scott,103,2.49
Sharkey,11,0.48
Simpson,61,1.47
Smith,24,0.58
Stone,65,1.57
Sunflower,79,2.37
Tallahatchie,53,1.59
Tate,107,3.21
Tippah,33,0.99
Tishomingo,43,1.29
Tunica,78,2.34
Union,121,3.63
Walthall,34,1.5
Warren,154,6.77
Washington,159,4.76
Wayne,95,2.29
Webster,16,0.48
Wilkinson,10,0.44
Winston,39,1.17
Yalobusha,27,0.81
Yazoo,36,1.58
Verification Pending,34,0.35
TOTAL,"9,785",100
