"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"402 
  
8 
  
410","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","201","5","","206","50.24"
"Black","189","2","","191","46.59"
"Hispanic","10","1","","11","2.68"
"Other","1","0","","1",".24"
"Unknown Race","1","0","","1",".24"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","0","0","","0",".00"
"16","2","0","","2",".49"
"17","6","0","","6","1.46"
"18 - 19","16","0","","16","3.90"
"20 - 29","115","5","","120","29.27"
"30 - 39","108","2","","110","26.83"
"40 - 49","77","0","","77","18.78"
"50 - 59","53","1","","54","13.17"
"60 - 69","16","0","","16","3.90"
"70 - 79","8","0","","8","1.95"
"80+","1","0","","1",".24"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Child Molestation","9","0","","9","2.20"
"Child Pornography","2","0","","2",".49"
"Depicting a Child Engaging in Sexual 
Conduct on Computer","1","0","","1",".24"
"Entice Child for Indecent Purposes","1","0","","1",".24"
"Exploitation of Child","31","1","","32","7.80"
"Failure to Register as Sex Offender","59","0","","59","14.39"
"Fondling","22","1","","23","5.61"
"Fondling a Child","8","0","","8","1.95"
"Forcible Sexual Intercourse","2","0","","2",".49"
"Gratification of Lust","16","0","","16","3.90"
"Kidnap Minor","1","0","","1",".24"
"Peeping Tom","3","0","","3",".73"
