"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","2","1.79","Lincoln","4","3.57"
"","Amite","1",".89","Madison","11","9.82"
"","Claiborne","2","1.79","Pike","5","4.46"
"","Copiah","4","3.57","Rankin","25","22.32"
"Central","","","","","",""
"","Franklin","0",".00","Sharkey","1",".89"
"Counties","","","","","",""
"","Hinds","41","36.61","Walthall","1",".89"
"","Holmes","2","1.79","Warren","5","4.46"
"","Humphreys","2","1.79","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","6","5.36"
"","Jefferson","0",".00","TOTAL","112","27.32"
