"JUN '06","JUN '05","JUN '04","JUN '03","JUN '02","TOTAL"
"2","4","1","1","0","39"
"5","5","8","5","11","52"
"1","1","0","2","0","11"
"0","2","1","3","4","49"
"0","0","0","0","0","16"
"1","5","8","7","8","48"
"0","4","0","3","13","38"
"2","3","5","2","4","32"
"3","3","6","6","5","77"
"0","1","2","1","0","22"
"2","0","0","1","6","12"
"0","1","0","0","1","8"
"13","8","6","5","1","88"
"0","1","3","3","14","41"
"3","4","4","11","5","82"
"0","2","3","1","2","16"
"4","5","9","17","14","171"
"5","9","6","12","9","94"
"0","2","0","1","0","15"
"1","3","7","10","2","31"
"1","0","0","0","0","4"
"2","2","3","1","2","54"
"4","7","1","2","7","39"
"1","23","29","28","27","206"
"9","16","11","21","16","250"
"0","2","2","3","3","65"
"0","1","0","1","4","9"
"0","1","0","1","1","4"
"0","2","1","1","0","25"
"4","7","14","11","7","85"
"2","0","0","1","0","13"
"0","1","0","1","3","11"
"0","0","1","0","0","11"
"2","8","10","11","8","92"
"0","0","0","1","2","7"
"3","5","6","4","10","44"
"1","6","4","0","2","24"
