"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","41","51","41","39","61","39"
"Reporting Instruction","52","174","101","111","115","56"
"Investigation","67","96","74","65","162","73"
"Acceptance","58","83","67","54","78","57"
"Rejection","17","8","9","10","21","22"
"Cancellation","0","0","0","0","0","1"
"Pending","67","96","74","65","162","73"
"Progress Report","4","2","0","3","0","0"
"Violation","39","53","40","73","31","30"
"Probation Warrant","10","11","8","13","12","6"
"Parole Warrant","1","0","1","1","0","0"
"Closure","70","83","54","61","70","56"
"Discharge","27","14","18","15","11","6"
"New File","0","0","0","0","0","0"
"Updates","179","235","177","203","227","151"
"Revocation","0","0","0","0","0","0"
"File Deletion","1","0","1","4","0","2"
"Inquiries","150","221","188","265","223","155"
"TOTAL","783","1,127","853","982","1,173","727"
