"Restitution Center Disbursements","",""
"","Average Monthly Restitution Population 
249",""
"","Number Hours Community Service Work 
24,622",""
"","Number Hours of Paid Employment 
300,237",""
"","",""
"","Restitution Paid, Fines and Court Costs","1,091,509.16"
"","Family Support","2,765.00"
"","Personal Expenses","95,282.04"
"","Personal Allowances","134,753.87"
"","Room & Board","497,378.55"
"","Account Closeouts","103,080.52"
"","Total Disbursements","$1,924,769.14"
"","",""
"Medical Bills Paid by Residents","","$51,557.79"
