"Adult Basic Education (Literacy, ABE, GED)","170","Open Entry/Exit"
"Agri-Business Horticulture","15","1,750 Hours"
"Auto/Automotive Body Repair","15","1,600 Hours"
"Auto/Automotive Mechanic/Technician","15","1,860 Hours"
"Carpentry","15","1,750 Hours"
"Communications System Installation","15","1,200 Hours"
"Diesel Equipment Repair & Services","15","1,260 Hours"
"Electrical","15","1,450 Hours"
"Heating, Air Conditioning & Refrigeration","15","1,900 Hours"
"Institutional Food Workers & Admin","15","1,600 Hours"
"Outboard Engine Mechanics","15","1,200 Hours"
"Welder/Welding Technologist","15","1,400 Hours"
