"GENDER","MALE","","FEMALE","","TOTAL"
"Custody Population","20,384","","1,647","","22,031"
"ISP, ERS, Medical Release","2,613","","580","","3,193"
"","22,980","","2,244","","25,224"
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","7,338","1,288","","8,626","34.20"
"Black","15,413","939","","16,352","64.83"
"Hispanic","167","10","","177",".70"
"Other","53","5","","58",".23"
"Unknown Race","9","2","","11",".04"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"14","1","0","","1",".00"
"15","4","0","","4",".02"
"16","8","0","","8",".03"
"17","34","0","","34",".13"
"18  -  19","461","14","","475","1.88"
"20  -  29","7,622","647","","8,269","32.78"
"30  -  39","7,268","787","","8,055","31.93"
"40  -  49","4,544","538","","5,082","20.15"
"50  -  59","2,395","212","","2,607","10.34"
"60  -  69","529","40","","569","2.26"
"70  -  79","99","6","","105",".42"
"80+","14","0","","14",".06"
"Verification Pending","1","0","","1",".00"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Aggravated Assault","1,318","88","","1,406","5.57"
"Burglary","3,216","195","","3,411","13.52"
"Homicide","1,529","95","","1,624","6.44"
"Manslaughter","998","123","","1,121","4.44"
"Property","3,486","747","","4,233","16.78"
"Possession of Drugs","3,540","484","","4,024","15.95"
"Robbery","3,041","113","","3,154","12.50"
"Sale of Drugs","2,780","298","","3,078","12.20"
"Sex Offense","2,717","52","","2,769","10.98"
"Violent","355","49","","404","1.60"
