"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","300","3.62","Montgomery","115","1.39"
"","Attala","211","2.54","Panola","354","4.27"
"","Benton","44",".53","Pontotoc","269","3.24"
"","Bolivar","299","3.60","Prentiss","208","2.51"
"","Calhoun","143","1.72","Quitman","70",".84"
"","Carroll","86","1.04","Sunflower","242","2.92"
"","Chickasaw","168","2.03","Tallahatchie","117","1.41"
"Northern","Choctaw","67",".81","Tate","229","2.76"
"Counties","","","","","",""
"","Coahoma","344","4.15","Tippah","93","1.12"
"","Desoto","1,118","13.48","Tishomingo","109","1.31"
"","Grenada","316","3.81","Tunica","167","2.01"
"","Itawamba","185","2.23","Union","200","2.41"
"","Lafayette","256","3.09","Washington","536","6.46"
"","Lee","867","10.45","Webster","65",".78"
"","Leflore","263","3.17","Winston","135","1.63"
"","Marshall","321","3.87","Yalobusha","102","1.23"
"","Monroe","296","3.57","TOTAL","8,295","32.89"
