"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Aggravated Assault","1,006","271","9","5","1,291","5.5%"
"Burglary","2,169","1,170","10","16","3,365","14.3%"
"Homicide","1,133","416","9","3","1,561","6.6%"
"Manslaughter","790","187","8","2","987","4.2%"
"Property","1,930","1,390","20","11","3,351","14.2%"
"Possession of Drugs","2,058","1,288","43","10","3,399","14.4%"
"Robbery","2,655","414","8","5","3,082","13.1%"
"Sale of Drugs","2,259","630","2","8","2,899","12.3%"
"Sex Offense","1,422","1,319","43","12","2,796","11.9%"
"Violent","488","332","12","3","835","3.5%"
"TOTAL","15,910","7,417","164","75","23,566","100%"
