"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Child Molestation","1","3","0","0","4"
"Child Pornography","0","2","0","0","2"
"Entice Child for Indecent Purpose","1","1","0","0","2"
"Exploitation of Child","3","25","0","1","29"
"Fail to Register as Sex Offender","35","25","1","1","62"
"Fondling","12","9","1","0","22"
"Fondling a Child","6","1","0","0","7"
"Forcible Sexual Intercourse","2","0","0","0","2"
"Gratification of Lust","12","12","2","0","26"
"Incest","1","0","0","0","1"
"Kidnap Minor","1","2","0","0","3"
"Peeping Tom","4","2","0","0","6"
"Rape","7","2","0","0","9"
"Sexual Abuse - Vulnerable Adult","1","0","0","0","1"
"Sexual Battery","62","59","2","0","123"
"Statutory Rape","56","19","2","2","79"
"Unlawful Touching of Child","11","25","1","1","38"
"Video Voyeurism - Photo or Film","0","4","0","0","4"
"TOTAL","215","191","9","5","420"
