"Offense","Male","Female","Total","Percent"
"Aggravated Assault","328","23","351","3.79%"
"Burglary","1,619","98","1,717","18.54%"
"Homicide","82","6","88","0.95%"
"Manslaughter","92","15","107","1.16%"
"Sell/Manufacture/Distribute Drugs","999","127","1,126","12.16%"
"Possession/Drugs with Intent","613","93","706","7.62%"
"Possession of Drugs","1,170","223","1,393","15.04%"
"Property","2,121","436","2,557","27.61%"
"Robbery","436","31","467","5.04%"
"Sex Offense","376","9","385","4.16%"
"Violent","314","50","364","3.93%"
"Total","8,150","1,111","9,261","100.00%"
