"Offense","Black","White","Hispanic","Other","Total"
"Capital Rape","0","0","0","0","0"
"Child Molestation","0","0","0","0","0"
"Child Pornography","0","0","0","0","0"
"Entice Child For Indecent Purposes","0","0","0","0","0"
"Exploitation of Child","0","1","0","0","1"
"Failure to Register as Sex Offender","0","0","0","0","0"
"Fondling","0","1","0","0","1"
"Gratification of Lust","0","1","0","0","1"
"Kidnap Minor","0","1","0","0","1"
"Rape","0","0","0","0","0"
"Sexual Battery","1","2","0","0","3"
"Sex Between Teacher and Pupil","0","1","0","0","1"
"Statutory Rape","0","1","0","0","1"
"Unlawful Touching of a Child","0","0","0","0","0"
"Video Voyeurism - Photographing or Filming","0","0","0","0","0"
"Total","1","8","0","0","9"
