"LOCATION","SERVED","COMPLETED","CAPACITY"
"(MSP) Therapeutic Community (Unit 30)","1,200","399","432"
"(MSP) Special Needs (Disability Unit 31)","8","1","20"
"(MSP) Security Threat Group (Unit 29-A)","95","34","48"
"(CMCF) A&D Program for Females","383","176","175"
"(CMCF) A&D Program for Males (Disability Unit)","31","17","16"
"(SMCI) Regimented Inmate Discipline Area","159","135","19"
"(SMCI) General Population Program Area","955","477","Open Entry/Exit"
"3 Community Pre-Release Centers","301","133","132"
"Flowood CWC (General Population)","60","28","N/A"
"14 Community Work Centers 
(Alcoholics Anonymous)","105","13","N/A"
