"Offense","Male","Female","Total","Percent"
"Aggravated Assault","360","35","395","3.55%"
"Burglary","2,115","144","2,259","20.32%"
"Homicide","27","1","28","0.25%"
"Manslaughter","112","16","128","1.15%"
"Sell/Manufacture/Distribute Drugs","1,331","143","1,474","13.26%"
"Possession/Drugs with Intent","792","112","904","8.13%"
"Possession of Drugs","1,519","257","1,776","15.98%"
"Property","2,438","569","3,007","27.05%"
"Robbery","484","17","501","4.51%"
"Sex Offense","313","5","318","2.86%"
"Violent","288","38","326","2.93%"
"Total","9,779","1,337","11,116","100.00%"
