"Rank","Authorized","Filled"
"Correctional Officer Trainee","541","460"
"Correctional Officer I","465","409"
"Correctional Officer II","106","102"
"Correctional Officer III","102","86"
"Correctional Officer IV","496","361"
"Correctional Supervisor","199","118"
"Correctional Commander","66","44"
"Deputy Warden","11","11"
"Warden","7","7"
"Probation/Parole Agent Trainee","45","29"
"Probation/Parole Agent I","138","84"
"Probation/Parole Agent II","39","38"
"Probation/Parole Agent III","113","112"
"TOTAL","2,328","1,861"
