"Facility","Mar","Apr","May","Jun"
"Mississippi State Penitentiary","3,125","3,159","3,126","3,093"
"Central Mississippi Correctional Facility","2,366","2,384","2,435","2,495"
"Youthful Offender Unit","23","25","23","23"
"South Mississippi Correctional Institution","2,405","2,417","2,462","2,520"
"County Jails","1,542","1,498","1,479","1,321"
"Community Work Centers","1,038","1,025","1,043","1,112"
"County/Regional Facilities","4,174","4,186","4,148","4,160"
"Private Prisons","3,993","3,992","3,950","3,941"
"Restitution Centers","5","9","10","14"
"Total","18,671","18,695","18,676","18,679"
"Actual Capacity","25,732","23,393","23,402","23,404"
