"OFFENSE","Average Sentence Length in Years"
"CHILD ENDANGERMENT","7.6"
"CHILD MOLESTATION","7.5"
"CHILD NEGLECT - SEX OFFENSE","2.0"
"CHILD PORNOGRAPHY","9.0"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","5.0"
"ENTICE CHILD FOR INDECENT PURPOSES","2.0"
"EXPLOITATION/CHILD","8.8"
"FONDLING","8.7"
"FONDLING A CHILD","5.5"
"FORCIBLE SEXUAL INTERCOURSE","5.0"
"GRATIFICATION/LUST","11.3"
"HUMAN TRAFFICKING","7.0"
"KIDNAP MINOR","30.3"
"RAPE","31.8"
"SEXUAL ABUSE - VULNERABLE ADULT","1.0"
"SEXUAL BATTERY","14.3"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","0.5"
"STATUTORY RAPE","6.8"
"UNLAWFUL TOUCHING/CHILD","12.9"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","2.0"
