"County","Offenders","Percent"
"ADAMS","4","1.15%"
"ALCORN","2","0.57%"
"AMITE","2","0.57%"
"ATTALA","2","0.57%"
"BENTON","1","0.29%"
"BOLIVAR","3","0.86%"
"CALHOUN","5","1.44%"
"CARROLL","2","0.57%"
"CHICKASAW","6","1.72%"
"CLARKE","1","0.29%"
"CLAY","3","0.86%"
"COAHOMA","4","1.15%"
"COPIAH","5","1.44%"
"COVINGTON","3","0.86%"
"+ DESOTO","23","6.61%"
"+ FORREST","11","3.16%"
"GEORGE","3","0.86%"
"GREENE","2","0.57%"
"GRENADA","2","0.57%"
"HANCOCK","7","2.01%"
"+ HARRISON","22","6.32%"
"+ HINDS","15","4.31%"
"HUMPHREYS","2","0.57%"
"ITAWAMBA","2","0.57%"
"+ JACKSON","17","4.89%"
"JASPER","4","1.15%"
"+ JONES","12","3.45%"
"KEMPER","1","0.29%"
"LAFAYETTE","3","0.86%"
"LAMAR","4","1.15%"
"LAUDERDALE","9","2.59%"
"LAWRENCE","1","0.29%"
"LEAKE","4","1.15%"
"LEE","6","1.72%"
"LEFLORE","5","1.44%"
"+ LOWNDES","10","2.87%"
"+ MADISON","9","2.59%"
"MARION","2","0.57%"
"MARSHALL","4","1.15%"
"MONROE","6","1.72%"
"MONTGOMERY","1","0.29%"
"NESHOBA","4","1.15%"
"OKTIBBEHA","9","2.59%"
"PANOLA","6","1.72%"
"+ PEARL","9","2.59%"
"PERRY","2","0.57%"
"PIKE","4","1.15%"
"PONTOTOC","3","0.86%"
"PRENTISS","3","0.86%"
"+ RANKIN","19","5.46%"
"SCOTT","3","0.86%"
"SHARKEY","1","0.29%"
"SIMPSON","2","0.57%"
"STONE","2","0.57%"
"SUNFLOWER","2","0.57%"
"TALLAHATCHIE","1","0.29%"
"TATE","7","2.01%"
"TIPPAH","5","1.44%"
"TUNICA","2","0.57%"
"UNION","8","2.30%"
"UNAVAILABLE","4","1.15%"
"WARREN","4","1.15%"
"WASHINGTON","8","2.30%"
"WAYNE","2","0.57%"
"WINSTON","2","0.57%"
"YALOBUSHA","1","0.29%"
"YAZOO","5","1.44%"
"TOTAL","348","100.00%"
