"County","Offenders","Percent"
"ADAMS","215","1.01%"
"ALCORN","222","1.04%"
"AMITE","86","0.40%"
"ATTALA","160","0.75%"
"BENTON","30","0.14%"
"BOLIVAR","223","1.05%"
"CALHOUN","112","0.53%"
"CARROLL","69","0.32%"
"CHICKASAW","139","0.65%"
"CHOCTAW","57","0.27%"
"CLAIBORN","75","0.35%"
"CLARKE","97","0.46%"
"CLAY","240","1.13%"
"COAHOMA","271","1.27%"
"COPIAH","187","0.88%"
"COVINGTON","73","0.34%"
"+ DESOTO","916","4.30%"
"+ FORREST","726","3.41%"
"FRANKLIN","48","0.23%"
"GEORGE","132","0.62%"
"GREENE","67","0.31%"
"GRENADA","196","0.92%"
"HANCOCK","285","1.34%"
"+ HARRISON","1857","8.71%"
"+ HINDS","1366","6.41%"
"HOLMES","81","0.38%"
"HUMPHREYS","59","0.28%"
"ISSAQUENA","4","0.02%"
"ITAWAMBA","132","0.62%"
"+ JACKSON","922","4.33%"
"JASPER","56","0.26%"
"JEFF","64","0.30%"
"JEFFERSON","33","0.15%"
"JONES","424","1.99%"
"KEMPER","52","0.24%"
"LAFAYETTE","245","1.15%"
"LAMAR","218","1.02%"
"+ LAUDERDALE","802","3.76%"
"LAWRENCE","88","0.41%"
"LEAKE","179","0.84%"
"+ LEE","652","3.06%"
"LEFLORE","271","1.27%"
"LINCOLN","267","1.25%"
"+ LOWNDES","771","3.62%"
"+ MADISON","793","3.72%"
"MARION","242","1.14%"
"MARSHALL","248","1.16%"
"MONROE","204","0.96%"
"MONTGOMERY","82","0.38%"
"NESHOBA","188","0.88%"
"NEWTON","107","0.50%"
"NOXUBEE","47","0.22%"
"OKTIBBEHA","443","2.08%"
"OUT-OF-STATE","4","0.02%"
"PANOLA","327","1.53%"
"PEARL","384","1.80%"
"PERRY","93","0.44%"
"PIKE","395","1.85%"
"PONTOTOC","170","0.80%"
"PRENTISS","183","0.86%"
"QUITMAN","58","0.27%"
"+ RANKIN","1033","4.85%"
"SCOTT","245","1.15%"
"SHARKEY","20","0.09%"
"SIMPSON","100","0.47%"
"SMITH","45","0.21%"
"STONE","94","0.44%"
"SUNFLOWER","154","0.72%"
"TALLAHATCHIE","97","0.46%"
"TATE","207","0.97%"
"TIPPAH","93","0.44%"
"TISHOMINGO","65","0.30%"
"TUNICA","119","0.56%"
"UNION","225","1.06%"
"UNAVAILABLE","128","0.60%"
"WALTHALL","119","0.56%"
"WARREN","366","1.72%"
"WASHINGTON","444","2.08%"
"WAYNE","148","0.69%"
"WEBSTER","66","0.31%"
"WILKINSON","37","0.17%"
"WINSTON","144","0.68%"
"YALOBUSHA","104","0.49%"
"YAZOO","124","0.58%"
"Total","21314","100.00%"
